source_number,destination_number,is_carting,is_ftl,start_hour,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor,data
4,30,0,1,23,7.5237,7.4826,7.4228,6.6722,1.8707,training
4,32,0,1,23,4.0371,4.0863,4.273,3.71,1.9503,training
4,39,1,0,2,-0.3014,-0.3383,-0.3239,-0.2875,2.65,training
4,39,1,0,3,-0.2997,-0.3378,-0.322,-0.3229,2.2835,training
4,39,1,0,7,-0.3119,-0.3431,-0.3245,-0.2951,2.7105,training
4,39,1,0,15,-0.3014,-0.3388,-0.3248,-0.3608,1.925,training
4,39,1,0,19,-0.3067,-0.3404,-0.3234,-0.419,1.3846,training
4,39,1,0,20,-0.3054,-0.3398,-0.3226,-0.4177,1.384,training
4,55,0,1,9,1.7285,1.3782,1.1634,1.7783,2.1667,training
4,55,0,1,20,1.7337,1.3866,1.171,2.0539,2.4169,training
4,57,0,1,6,2.8092,2.7955,2.9535,2.1215,1.6767,training
4,57,0,1,7,2.7987,2.7902,2.9508,2.0248,1.6212,training
4,90,1,0,2,-0.3487,-0.3477,-0.3425,-0.3911,2.0968,training
4,90,1,0,3,-0.347,-0.3478,-0.3421,-0.3723,2.3132,training
4,90,1,0,7,-0.3487,-0.3472,-0.3414,-0.3406,2.7419,training
4,90,1,0,14,-0.3487,-0.3508,-0.3421,-0.3924,2.0806,training
4,90,1,0,15,-0.3487,-0.3504,-0.3445,-0.3583,2.5161,training
4,90,1,0,20,-0.3457,-0.3493,-0.3426,-0.3911,2.068,training
4,91,1,0,1,-0.2541,-0.3278,-0.3292,-0.2584,2.3966,training
4,91,1,0,2,-0.2593,-0.3287,-0.3313,-0.3016,2.0916,training
4,91,1,0,3,-0.2593,-0.3285,-0.3306,-0.2243,2.7292,training
4,91,1,0,6,-0.2541,-0.3273,-0.3314,-0.2812,2.2143,training
4,91,1,0,7,-0.2584,-0.3276,-0.3305,-0.2748,2.3208,training
4,91,1,0,8,-0.2541,-0.328,-0.3305,-0.3338,1.7948,training
4,91,1,0,9,-0.2541,-0.3273,-0.3284,-0.3317,1.8065,training
4,91,1,0,10,-0.262,-0.33,-0.3313,-0.3286,1.8902,training
4,91,1,0,11,-0.255,-0.3265,-0.3303,-0.3018,2.0538,training
4,91,1,0,12,-0.2567,-0.329,-0.3329,-0.3267,1.8628,training
4,91,1,0,13,-0.2583,-0.3286,-0.3307,-0.2445,2.5729,training
4,91,1,0,14,-0.2593,-0.3298,-0.3305,-0.3621,1.5938,training
4,91,1,0,15,-0.2602,-0.3292,-0.3311,-0.3267,1.8922,training
4,91,1,0,16,-0.258,-0.329,-0.3307,-0.3576,1.6189,training
4,91,1,0,17,-0.262,-0.3304,-0.3308,-0.376,1.4956,training
4,91,1,0,18,-0.2646,-0.3314,-0.3317,-0.4038,1.2766,training
4,91,1,0,19,-0.2598,-0.3291,-0.3302,-0.3935,1.3373,training
4,91,1,0,20,-0.2646,-0.3309,-0.3316,-0.3623,1.6239,training
4,91,1,0,21,-0.2593,-0.3293,-0.3302,-0.3063,2.0547,training
4,91,1,0,22,-0.2567,-0.3266,-0.3312,-0.3674,1.5341,training
4,92,0,1,10,6.6981,6.6341,6.8479,6.4686,2.0263,training
4,92,0,1,13,6.6875,6.631,6.8464,7.8037,2.4149,training
4,92,0,1,17,6.6928,6.6316,6.8466,7.1412,2.2219,training
4,93,0,1,8,4.9995,4.9293,5.1455,5.2777,2.2013,training
4,93,0,1,11,4.9942,4.965,5.1426,4.767,2.0105,training
4,93,0,1,13,4.996,4.9546,5.1452,5.2507,2.1926,training
4,93,0,1,14,4.9942,4.9688,5.1443,4.7543,2.0057,training
4,93,0,1,17,4.9911,4.9571,5.1426,5.123,2.1463,training
4,93,0,1,19,4.9942,4.9245,5.1434,4.9035,2.0621,training
