,source_number,destination_number,osrm_time,osrm_distance
434,91,459,31.772727272727273,30.04578181818182
435,91,900,37.5,36.65636666666666
436,91,1051,47.5,56.30395
437,91,1509,44.0,41.2743
438,92,2,1341.0,1883.85815
439,92,30,1054.6666666666667,1435.1958333333332
440,92,69,283.72727272727275,396.06011818181815
441,92,87,687.4,953.9492200000001
442,92,93,311.4347826086956,434.6979739130435
443,92,204,29.333333333333332,29.460966666666664
444,92,251,29.565217391304348,29.699247826086957
445,92,341,106.14285714285714,149.26934285714285
446,92,370,151.33333333333334,211.08573333333334
447,92,430,22.142857142857142,21.31992142857143
448,92,471,57.0,79.817
449,92,528,180.33333333333334,255.43816666666666
450,92,544,215.33333333333334,303.9979666666666
451,92,685,18.818181818181817,19.621054545454545
452,92,690,151.25,211.003425
453,92,758,58.666666666666664,82.3188
454,92,1007,101.0,131.2147125
455,92,1133,37.5,43.62305
456,92,1199,35.37931034482759,33.471806896551726
457,92,1379,72.0,90.912
458,93,4,1058.3333333333333,1423.740911111111
459,93,66,333.2,456.03689
460,93,92,323.1818181818182,434.11302272727266
461,93,814,88.4,123.96772000000001
462,93,1222,41.666666666666664,58.48108333333334
463,93,1453,135.5,181.3902875
464,94,21,114.5,145.25765
465,94,95,66.125,75.1408
466,94,98,67.5,76.19895
467,95,96,30.333333333333332,32.459399999999995
468,95,1485,65.0,70.37110000000001
469,96,94,96.5,103.7295
470,96,1485,39.0,42.42261666666666
471,97,98,32.666666666666664,38.33906666666667
472,98,94,68.75,77.521575
473,98,96,48.5,54.1109
474,99,100,40.0,54.26296666666667
475,99,122,18.952380952380953,19.21577142857143
476,99,1612,16.0,19.579
477,100,101,36.45454545454545,44.73230909090909
478,101,99,54.0,68.92110000000001
479,101,1349,17.2,19.61746
480,102,2,997.5384615384615,1367.926253846154
481,102,14,57.0,44.0332
482,102,27,335.22222222222223,465.35963333333336
483,102,30,42.75,43.87963333333334
484,102,105,21.0,18.677308
485,102,124,35.0,30.464716666666664
486,102,232,27.65714285714286,28.643514285714286
487,102,352,36.0,32.122928571428574
488,102,384,39.2,35.090520000000005
489,102,444,16.0,12.964
490,102,632,129.3,152.94269500000001
491,102,641,133.0,164.5073
492,102,738,46.0,41.939800000000005
493,102,747,24.181818181818183,23.8433
494,102,1073,36.333333333333336,32.542566666666666
495,102,1094,25.214285714285715,22.47957142857143
496,102,1098,149.5,202.68355
497,102,1115,31.0,27.751
498,102,1175,25.5,27.036466666666666
499,102,1421,151.0,202.6035
500,102,1513,375.0,489.2995
501,103,87,34.333333333333336,33.460483333333336
502,104,2,20.88888888888889,23.133511111111112
503,104,85,18.333333333333332,20.527350000000002
504,104,347,17.0,20.5299
505,104,796,15.0,19.3999
506,104,1437,18.0,18.1351
507,104,1499,14.772727272727273,18.018054545454547
508,104,1553,16.11111111111111,18.03511111111111
509,105,102,19.0,21.1231
510,106,107,58.916666666666664,62.9706
511,106,453,48.333333333333336,45.04026666666667
512,107,106,60.666666666666664,64.2529
513,107,923,21.727272727272727,31.222
514,108,85,21.333333333333332,27.112166666666667
515,109,4,424.75,542.2089000000001
516,109,26,614.1,865.9708199999999
517,109,30,1191.0,1635.114
518,109,57,447.7692307692308,596.5126384615385
519,109,58,249.72727272727272,327.2718090909091
520,109,78,28.833333333333332,36.33898333333334
521,109,92,1057.5,1471.3070500000001
522,109,93,735.125,1038.1020875
523,109,110,30.428571428571427,34.386585714285715
524,109,179,23.58823529411765,28.72034705882353
525,109,222,138.58333333333334,194.309625
526,109,360,21.642857142857142,26.669278571428574
527,109,365,299.25,422.02164999999997
528,109,428,168.5,186.9071
529,109,451,243.22222222222223,337.7733111111111
530,109,539,39.90909090909091,48.11627272727273
531,109,580,273.3333333333333,363.4475
532,109,694,122.3,169.27073000000001
533,109,716,105.5,140.17345
534,109,735,168.0,210.75039285714283
535,109,794,29.333333333333332,36.2273
536,109,834,27.0,36.865883333333336
537,109,853,56.30769230769231,76.72046923076924
538,109,1077,46.857142857142854,66.87162857142857
539,109,1114,38.4,47.00889
540,109,1286,94.14285714285714,109.54538571428573
541,110,109,32.44444444444444,36.094144444444446
542,110,1486,28.666666666666668,32.710233333333335
543,111,14,53.107142857142854,43.684725
544,111,30,61.0,65.4646
545,111,102,23.0,24.531366666666667
546,111,124,22.363636363636363,19.571581818181816
547,111,384,14.857142857142858,13.577328571428572
548,111,1186,15.5,13.740545454545453
549,112,4,34.13333333333333,26.93986
550,112,5,21.714285714285715,18.74867857142857
551,113,61,203.75,289.050775
552,113,114,49.86666666666667,68.38485333333333
553,113,180,80.33333333333333,102.70153333333333
554,113,181,92.0,130.5763
555,113,242,46.4,63.19144
556,113,361,16.285714285714285,23.693735714285715
557,113,362,37.0,52.4093
558,113,367,72.86666666666666,99.50801333333334
559,113,708,57.57142857142857,70.43791428571429
560,113,754,60.666666666666664,84.49396666666667
561,113,757,46.0,65.86930000000001
562,113,829,10.454545454545455,15.202618181818183
563,113,830,18.0,26.184299999999997
564,113,864,34.36363636363637,49.23285454545455
565,113,1259,48.357142857142854,69.29379285714286
566,114,115,23.933333333333334,26.303126666666667
567,115,116,32.61538461538461,33.08705384615385
568,116,113,76.23076923076923,107.93252307692309
569,117,2,202.85714285714286,286.66695714285714
570,117,118,40.5,54.711175
571,117,119,76.0,104.8602
