data,source_number,destination_number,is_carting,is_ftl,day_of_week,start_hour,is_day,is_night,is_cutoff,osrm_time,osrm_distance,actual_distance,actual_time,real_actual_time_factor
training,258,446,0,1,2,5,0,1,0,18.0,25.5412,20.30307100338659,76.0,4.222222222222222
training,5,91,1,0,5,15,1,0,0,58.0,53.3295,41.703814120811145,95.0,1.637931034482759
training,127,5,1,0,1,7,0,1,0,37.0,38.151900000000005,28.608351293441057,68.0,1.837837837837838
training,2,564,1,0,1,4,0,1,0,29.0,40.4228,35.33167961600315,78.0,2.689655172413793
training,102,105,1,0,6,18,1,0,0,21.0,18.8031,15.060223054881211,42.0,2.0
training,264,1496,1,0,2,6,0,1,0,17.0,23.0912,14.81709835393638,41.0,2.411764705882353
training,265,264,1,0,2,10,1,0,0,21.0,25.8677,18.324348414886256,162.0,7.714285714285714
training,269,27,0,1,1,1,0,1,0,138.0,195.9257,181.93016755521444,235.0,1.7028985507246377
training,232,233,1,0,2,7,0,1,0,30.0,40.7359,38.59877494059887,65.0,2.1666666666666665
training,31,30,0,1,5,11,1,0,0,630.0,876.3354,735.5127381217875,1692.0,2.685714285714285
training,270,135,0,1,5,10,1,0,0,107.0,131.5405,103.75690173945208,153.0,1.4299065420560748
training,135,17,0,1,5,13,1,0,0,125.0,151.84189999999998,132.96401809857667,213.0,1.704
training,92,1199,1,0,6,4,0,1,0,33.0,31.8792,22.860030246436533,74.0,2.242424242424242
training,194,30,1,0,4,18,1,0,0,39.0,41.6635,36.00873783076858,48.0,1.2307692307692308
training,194,14,1,0,6,15,1,0,0,55.0,43.0231,35.713213928633905,70.0,1.2727272727272727
